#Day,Creative ID,Country,Bids,Bids in auction,Reached queries
12/1/25,97346,Saudi Arabia,1,1,0
12/1/25,98934,India,40357,39106,13780
12/1/25,98935,India,36956,36013,13070
12/1/25,98936,India,40450,39349,13988
12/1/25,98937,India,40719,39566,13998
12/1/25,98938,India,40585,39433,14044
12/1/25,98939,India,74622,50594,17909
12/1/25,98941,India,73842,50128,17907
12/1/25,98943,India,73973,50203,17591
12/1/25,98944,India,74217,46252,17472
12/1/25,98945,India,62160,40290,14972
12/1/25,98946,India,73756,50279,17564
12/1/25,98947,India,73939,50094,17716
12/1/25,98948,India,74065,49906,17474
12/1/25,99149,India,202668,202570,194813
12/1/25,99152,India,149516,146313,7115
12/1/25,99153,India,132126,129645,5688
12/1/25,99154,India,149917,146875,7257
12/1/25,99155,India,153119,150042,10977
12/1/25,99156,India,151814,148795,10768
12/1/25,99171,India,24987,24982,21338
12/1/25,99868,India,1,0,0
12/1/25,99873,India,1,1,1
12/1/25,99878,India,1,1,1
12/1/25,99892,Peru,1,1,1
12/1/25,99928,Peru,113,113,49
12/1/25,99929,Peru,129,129,49
12/1/25,99930,Peru,142,142,52
